fecha,simbolo,apertura,cierre,volumen
2025-01-16,TSLA,423.49,413.82,68335151
2025-01-15,TSLA,409.9,428.22,81375460
2025-01-14,TSLA,414.34,396.36,84565022
2025-01-13,TSLA,383.21,403.31,67580494
2025-01-10,TSLA,391.4,394.74,62287333
2025-01-08,TSLA,392.95,394.94,73038805
2025-01-07,TSLA,405.83,394.36,75699525
2025-01-06,TSLA,423.2,411.05,85516534
2025-01-03,TSLA,381.48,410.44,95423329
2025-01-02,TSLA,390.1,379.28,109710749
2024-12-31,TSLA,423.79,403.84,76825121
2024-12-30,TSLA,419.4,417.41,64941012
2024-12-27,TSLA,449.52,431.66,82666821
2024-12-26,TSLA,465.16,454.13,76651210
2024-12-24,TSLA,435.9,462.28,59551750
2024-12-23,TSLA,431.0,430.6,72698055
2024-12-20,TSLA,425.505,421.06,132216176
2024-12-19,TSLA,451.88,436.17,118566146
2024-12-18,TSLA,466.495,440.13,149340788
2024-12-17,TSLA,475.9,479.86,131222978
2024-12-16,TSLA,441.09,463.02,114083811
2024-12-13,TSLA,420.0,436.23,89000158
2024-12-12,TSLA,424.84,418.1,87752225
2024-12-11,TSLA,409.7,424.77,104287559
2024-12-10,TSLA,392.68,400.99,97563578
2024-12-09,TSLA,397.61,389.79,96359173
2024-12-06,TSLA,377.42,389.22,81455834
2024-12-05,TSLA,359.87,369.49,81403569
2024-12-04,TSLA,353.0,357.93,50810874
2024-12-03,TSLA,351.8,351.42,58267196
2024-12-02,TSLA,352.38,357.09,77986478
2024-11-29,TSLA,336.08,345.16,37167621
2024-11-27,TSLA,341.8,332.89,57896439
2024-11-26,TSLA,341.0,338.23,62295857
2024-11-25,TSLA,360.14,338.59,95890899
2024-11-22,TSLA,341.085,352.56,89140722
2024-11-21,TSLA,343.81,339.64,58011719
2024-11-20,TSLA,345.0,342.03,66340650
2024-11-19,TSLA,335.76,346.0,88852452
2024-11-18,TSLA,340.73,338.74,126547455
2024-11-15,TSLA,310.57,320.72,114440286
2024-11-14,TSLA,327.69,311.18,120726109
2024-11-13,TSLA,335.85,330.24,125405599
2024-11-12,TSLA,342.74,328.49,155726016
2024-11-11,TSLA,346.3,350.0,210521625
2024-11-08,TSLA,299.14,321.22,204782763
2024-11-07,TSLA,288.89,296.91,117309232
2024-11-06,TSLA,284.67,288.53,165228710
2024-11-05,TSLA,247.34,251.44,69282505
2024-11-04,TSLA,244.56,242.84,68802354
2024-11-01,TSLA,252.043,248.98,57544757
2024-10-31,TSLA,257.99,249.85,66575292
2024-10-30,TSLA,258.035,257.55,53993576
2024-10-29,TSLA,264.51,259.52,80521751
2024-10-28,TSLA,270.0,262.51,107653603
2024-10-25,TSLA,256.01,269.19,161611931
2024-10-24,TSLA,244.68,260.48,204491903
2024-10-23,TSLA,217.125,213.65,80938892
2024-10-22,TSLA,217.31,217.97,43268741
2024-10-21,TSLA,218.9,218.85,47328988
2024-10-18,TSLA,220.71,220.7,49611867
2024-10-17,TSLA,221.59,220.89,50791784
2024-10-16,TSLA,221.4,221.33,49632824
2024-10-15,TSLA,220.01,219.57,62988787
2024-10-14,TSLA,220.13,219.16,86291923
2024-10-11,TSLA,220.13,217.8,142628874
2024-10-10,TSLA,241.81,238.77,83087063
2024-10-09,TSLA,243.82,241.05,66289529
2024-10-08,TSLA,243.56,244.5,56303160
2024-10-07,TSLA,249.0,240.83,68113270
2024-10-04,TSLA,246.69,250.08,86726285
2024-10-03,TSLA,244.48,240.66,80729240
2024-10-02,TSLA,247.55,249.02,93983930
2024-10-01,TSLA,262.67,258.02,87397613
2024-09-30,TSLA,259.04,261.63,80873381
2024-09-27,TSLA,257.375,260.46,70988067
2024-09-26,TSLA,260.6,254.22,67142193
2024-09-25,TSLA,252.54,257.02,65034318
2024-09-24,TSLA,254.08,254.27,88490999
2024-09-23,TSLA,242.61,250.0,86927194
2024-09-20,TSLA,241.52,238.25,99879070
2024-09-19,TSLA,234.0,243.92,102694576
2024-09-18,TSLA,230.09,227.2,78010204
2024-09-17,TSLA,229.45,227.87,66761636
2024-09-16,TSLA,229.3,226.78,54322995
2025-02-07,AMZN,232.5,229.15,77269954
2025-02-06,AMZN,238.01,238.83,60897095
2025-02-05,AMZN,237.02,236.17,38832042
2025-02-04,AMZN,239.01,242.06,29713812
2025-02-03,AMZN,234.06,237.42,37285868
2025-01-31,AMZN,236.5,237.68,36162377
2025-01-30,AMZN,237.14,234.64,32020728
2025-01-29,AMZN,239.015,237.07,26091716
2025-01-28,AMZN,234.29,238.15,41587188
2025-01-27,AMZN,226.21,235.42,49428332
2025-01-24,AMZN,234.5,234.85,25890738
2025-01-23,AMZN,234.1,235.42,26404364
2025-01-22,AMZN,232.02,235.01,41448217
2025-01-21,AMZN,228.9,230.71,39951456
2025-01-17,AMZN,225.84,225.94,42370123
2025-01-16,AMZN,224.42,220.66,24757276
